"ISO","SPID","adm1_name","vac","pop"
"CAF","CAF_3","Basse-Kotto",0.847131201478399,318570.86156614
"CAF","CAF_4","Haut-Mbomou",0.847131201478399,59525.2567652163
"CAF","CAF_5","Haute-Kotto",0.887610291995297,109381.321521979
"CAF","CAF_6","Kemo",0.836737622254791,152812.61138614
"CAF","CAF_7","Lobaye",0.854803181737512,340195.598759637
"CAF","CAF_8","Mambere-Kadei",0.836737622254791,456296.556543921
"CAF","CAF_9","Mbomou",0.847131201478399,214077.832847344
"CIV","CIV_1","Agneby",0.92841241271087,697744.810074019
"CIV","CIV_10","Marahoue",0.913081113301711,911613.064288954
"CIV","CIV_11","Moyen-Cavally",0.92841241271087,894765.75248376
"CIV","CIV_12","Moyen-Comoe",0.92841241271087,581329.549307786
"CIV","CIV_13","N'zi-Comoe",0.92841241271087,939139.067655012
"CIV","CIV_14","Savanes",0.824362978466577,1648543.63969374
"CIV","CIV_15","Sud-Bandama",0.92841241271087,867967.147111831
"CIV","CIV_16","Sud-Comoe",0.869971940374994,460076.174992367
"CIV","CIV_17","Vallee du Bandama",0.891976617873365,1470338.26248507
"CIV","CIV_18","Worodougou",0.910210215367541,676433.271363683
"CIV","CIV_19","Zanzan",0.861959216779463,950152.932801407
"CIV","CIV_2","Bafing",0.869971940374994,189917.096172962
"CIV","CIV_3","Bas-Sassandra",0.869971940374994,2204222.73144386
"CIV","CIV_4","Denguele",0.718421894555051,300964.485747229
"CIV","CIV_5","Dix-Huit Montagnes",0.892337504721849,1532459.47745425
"CIV","CIV_6","Fromager",0.895678932802036,889560.883643419
"CIV","CIV_7","Haut-Sassandra",0.895186927482287,1473249.89199098
"CIV","CIV_8","Lacs",0.92841241271087,711015.23902573
"CIV","CIV_9","Lagunes",0.92841241271087,5807098.34742199
"CMR","CMR_1","Adamaoua",0.832789917080666,1239194.15341432
"CMR","CMR_10","Sud",0.490161133154349,856262.565608128
"CMR","CMR_2","Centre",0.809952941336911,4351730.88749421
"CMR","CMR_3","Est",0.46472393067048,999625.655816313
"CMR","CMR_4","Extreme-Nord",0.891094024515544,4353332.54746498
"CMR","CMR_5","Littoral",0.862086299714229,3515528.49061335
"CMR","CMR_6","Nord-Ouest",0.311917792397478,2216533.49911911
"CMR","CMR_7","Nord",0.468974400596464,2502015.90343123
"CMR","CMR_8","Ouest",0.422084718107547,2223275.20128885
"CMR","CMR_9","Sud-Ouest",0.492667351112328,1603139.22409282
"COD","COD_1","Bandundu",0.412725588528596,9850789.29147986
"COD","COD_2","Bas-Congo",0.972858247590139,5388092.0278745
"COD","COD_3","Equateur",0.263011301957837,9122145.36549088
"COD","COD_4","Kasai-Occidental",0.666295351530846,6323837.75632167
"COD","COD_5","Kasai-Oriental",0.272434729357401,7257635.00730673
"COD","COD_6","Katanga",0.463871925945197,7818707.80858137
"COD","COD_7","Kinshasa City",0.985448774554943,9057420.63692006
"COD","COD_8","Kivu",0.259022649915887,14482938.0791714
"COD","COD_9","Orientale",0.330835517458474,10537118.5584279
