"ISO","SPID","vac"
"COG","COG_7",0.17452462168521
"COG","COG_8",0.17452462168521
"COG","COG_9",0.17452462168521
"ERI","ERI_1",0
"ERI","ERI_2",0
"ERI","ERI_3",0
"ERI","ERI_4",0
"ERI","ERI_5",0
"ERI","ERI_6",0
"ETH","ETH_1",0
"ETH","ETH_10",0
"ETH","ETH_11",0
"ETH","ETH_2",0
"ETH","ETH_3",0
"ETH","ETH_4",0
"ETH","ETH_5",0
"ETH","ETH_6",0
"ETH","ETH_7",0
"ETH","ETH_8",0
"ETH","ETH_9",0
"GAB","GAB_1",0.694347689801725
"GAB","GAB_2",0.694347689801725
"GAB","GAB_3",0.694347689801725
"GAB","GAB_4",0.694347689801724
"GAB","GAB_5",0.694347689801725
"GAB","GAB_6",0.694347689801724
"GAB","GAB_7",0.694347689801725
"GAB","GAB_8",0.694347689801725
"GAB","GAB_9",0.694347689801725
"GHA","GHA_1",0.246155816906523
"GHA","GHA_10",0.4140099873391
"GHA","GHA_2",0.26853147807506
"GHA","GHA_3",0.41209103639239
"GHA","GHA_4",0.23327875810601
"GHA","GHA_5",0.23327875810601
"GHA","GHA_6",0.332135147304796
"GHA","GHA_7",0.23327875810601
"GHA","GHA_8",0.76909832309957
"GHA","GHA_9",0.23327875810601
"GIN","GIN_1",0.882989690965881
"GIN","GIN_2",0.846685793821476
"GIN","GIN_3",0.621794441272101
"GIN","GIN_4",0.506376215396592
"GIN","GIN_5",0.762397376092809
"GIN","GIN_6",0.833263688706356
"GIN","GIN_7",0.832926060674022
"GIN","GIN_8",0.304029778653821
"GMB","GMB_1",0.715403556913146
"GMB","GMB_2",0.715403556913146
"GMB","GMB_3",0.715403556913146
"GMB","GMB_4",0.715403556913146
"GMB","GMB_5",0.715403556913146
"GMB","GMB_6",0.715403556913146
"GNB","GNB_1",0
"GNB","GNB_2",0
"GNB","GNB_3",0
"GNB","GNB_4",0
"GNB","GNB_5",0
"GNB","GNB_6",0
"GNB","GNB_7",0
"GNB","GNB_8",0
"GNB","GNB_9",0
"GNQ","GNQ_2",0
"GNQ","GNQ_3",0
"GNQ","GNQ_4",0
"GNQ","GNQ_5",0
"GNQ","GNQ_6",0
"GNQ","GNQ_7",0
"KEN","KEN_1",0.0191695271223423
"KEN","KEN_2",0.0191695271223423
"KEN","KEN_3",0.0191695271223423
"KEN","KEN_4",0.0191695271223423
"KEN","KEN_5",0.0191695271223423
"KEN","KEN_6",0.0191695271223423
"KEN","KEN_7",0.0727685901532021
"KEN","KEN_8",0.0191695271223423
"LBR","LBR_1",0.0946794770080586
"LBR","LBR_10",0.888020497868517
"LBR","LBR_11",0.260059854631235
"LBR","LBR_12",0.473800784401763
"LBR","LBR_13",0.0946794770080587
"LBR","LBR_14",0.0946794770080586
"LBR","LBR_15",0.0946794770080586
"LBR","LBR_2",0.544644966145526
"LBR","LBR_3",0.0946794770080586
"LBR","LBR_4",0.858174568275666
"LBR","LBR_5",0.357037326708989
"LBR","LBR_6",0.0946794770080586
"LBR","LBR_7",0.0946794770080586
"LBR","LBR_8",0.462098406533376
"LBR","LBR_9",0.411718310447862
"MLI","MLI_1",0.426306457526569
"MLI","MLI_2",0.229467343718896
"MLI","MLI_3",0.982423006461835
"MLI","MLI_4",0.229467343718896
"MLI","MLI_5",0.727311427341474
"MLI","MLI_6",0.426306457526569
"MLI","MLI_7",0.426306457526569
"MLI","MLI_8",0.564209002226454
"MLI","MLI_9",0.229467343718896
"MRT","MRT_1",0.124942193053618
"MRT","MRT_10",0.124942193053619
"MRT","MRT_11",0.124942193053619
"MRT","MRT_12",0.124942193053619
"MRT","MRT_13",0.124942193053619
"MRT","MRT_2",0.124942193053619
"MRT","MRT_3",0.124942193053619
"MRT","MRT_4",0.124942193053619
"MRT","MRT_5",0.124942193053619
"MRT","MRT_6",0.124942193053619
"MRT","MRT_7",0.124942193053619
"MRT","MRT_8",0.124942193053619
"MRT","MRT_9",0.124942193053619
"NER","NER_1",0.204388537108519
"NER","NER_2",0.204388537108519
"NER","NER_3",0.204388537108519
"NER","NER_4",0.204388537108519
"NER","NER_5",0.204388537108519
"NER","NER_6",0.204388537108519
"NER","NER_7",0.209131358744298
"NER","NER_8",0.204388537108519
"NGA","NGA_1",0.0577408303447708
"NGA","NGA_10",0.310283042978268
"NGA","NGA_11",0.0577408303447708
"NGA","NGA_12",0.310283042978268
"NGA","NGA_13",0.0577408303447708
"NGA","NGA_14",0.0577408303447706
"NGA","NGA_15",0.0577408303447708
"NGA","NGA_16",0.0631580462161859
"NGA","NGA_17",0.316977072436012
"NGA","NGA_18",0.0577408303447708
"NGA","NGA_19",0.359698205000307
"NGA","NGA_2",0.063158046216186
"NGA","NGA_20",0.310283042978268
"NGA","NGA_21",0.312806244588855
"NGA","NGA_22",0.0577408303447708
"NGA","NGA_23",0.0577408303447706
"NGA","NGA_24",0.358032241119824
"NGA","NGA_25",0.358032241119824
